CustomerID,StockCode,rf_score
12347,23084,0.9297614563851564
12347,21731,0.9231754254547849
12347,20719,0.9074018345395531
12347,21791,0.8647652463110236
12347,22992,0.858504447015675
12347,22371,0.838493020402683
12347,22726,0.8347762649250261
12347,22492,0.832870807730561
12347,22728,0.8315829439646796
12347,23308,0.8217536475360099
12356,21843,0.8441929035346281
12356,22423,0.7958753267050045
12356,84991,0.6753268787401336
12356,84378,0.6182936095569681
12356,22699,0.5848325726574454
12356,22138,0.5808427183010039
12356,84375,0.5747776783890309
12356,22698,0.5742573398989195
12356,22195,0.5486611869480879
12356,37450,0.5425473375211525
12358,15056BL,0.9436024531943741
12358,20679,0.9236262028079244
12358,15056N,0.9155246179647594
12358,15056P,0.8746267928462454
12358,POST,0.8014691146341061
12358,22059,0.7838810274118374
12358,22063,0.5563570424166304
12358,48185,0.5208244741787084
12358,22646,0.5158202449082133
12358,21232,0.5003072912323665
12362,POST,0.9589683457859343
12362,23292,0.9453264803411893
12362,23245,0.9433542488573068
12362,22328,0.9325862329076358
12362,23290,0.9271414253933098
12362,20750,0.9262690315622154
12362,23319,0.917472170687672
12362,22727,0.9149702910116366
12362,23203,0.9076096305218982
12362,22551,0.903964155314409
12364,POST,0.9522009271166182
12364,22908,0.8855116748754334
12364,22992,0.8821151165597982
12364,22613,0.875381442106736
12364,22045,0.842902533763198
12364,22437,0.8308375277413558
12364,21987,0.8297442124016094
12364,23310,0.8224858156559818
12364,23298,0.817187627905414
12364,16156S,0.8065165795644783
12375,POST,0.8936017925166165
12375,23203,0.8599459296551335
12375,23200,0.8471193000062792
12375,21929,0.7430735471224283
12375,84997D,0.7326977262803862
12375,20713,0.7316801628472422
12375,20749,0.7315332451545049
12375,20712,0.6856228613835941
12375,21930,0.6654971777862968
12375,22355,0.6546180736436085
12380,20726,0.9776572159195583
12380,20725,0.9735329191305163
12380,22384,0.9608441475517149
12380,POST,0.960508569624698
12380,21731,0.9560727790541546
12380,22386,0.9557456402813594
12380,22382,0.9550301203671753
12380,20728,0.9540507076716634
12380,22326,0.9539610802228325
12380,23206,0.9520049754346438
12381,POST,0.9782216681675536
12381,22720,0.9466069791257479
12381,23084,0.9412470211847492
12381,22423,0.9331317823334084
12381,21481,0.8715075183393505
12381,22139,0.870463755639423
12381,23199,0.8560223298479267
12381,22964,0.8551422998158357
12381,22941,0.8515422398766543
12381,22621,0.8459190013606663
12388,22910,0.9784843582035332
12388,22086,0.9629253070461002
12388,23245,0.9479876900643567
12388,22722,0.9436236129285326
12388,22669,0.9334972989879081
12388,22720,0.9321977672901772
12388,84970L,0.9211012042298582
12388,23236,0.9174252747394412
12388,84978,0.9122903829607154
12388,47590B,0.8993004434564176
12395,POST,0.9947459336553653
